city,userID,rank,path_ids,path_names,n_pois,total_profit,total_time_min
Athens,100721644@N08,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,100721644@N08,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,100721644@N08,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,100768432@N08,1,Athens_20|Athens_17|Athens_10|Athens_13|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Museum of Cycladic Art → Byzantine And Christian Museum,5,2.489,208.0
Athens,100768432@N08,2,Athens_20|Athens_17|Athens_10|Athens_8|Athens_9,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Benaki Museum → Byzantine And Christian Museum,5,2.489,149.8
Athens,100768432@N08,3,Athens_20|Athens_17|Athens_10|Athens_9|Athens_13,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum → Museum of Cycladic Art,5,2.489,204.8
Athens,101005415@N02,1,Athens_13|Athens_20|Athens_17|Athens_10|Athens_9,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Athens War Museum → Byzantine And Christian Museum,5,4.989,214.2
Athens,101005415@N02,2,Athens_13|Athens_20|Athens_17|Athens_9|Athens_10,Museum of Cycladic Art → Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Athens War Museum,5,4.989,213.4
Athens,101005415@N02,3,Athens_13|Athens_20|Athens_10|Athens_17|Athens_9,Museum of Cycladic Art → Old Parliament → Athens War Museum → Numismatic Museum of Athens → Byzantine And Christian Museum,5,4.989,238.5
Athens,102897707@N03,1,Athens_11|Athens_20|Athens_17|Athens_5|Athens_10,Temple of Hephaestus → Old Parliament → Numismatic Museum of Athens → Temple of Olympian Zeus → Athens War Museum,5,3.5,196.2
Athens,102897707@N03,2,Athens_11|Athens_20|Athens_17|Athens_5|Athens_9,Temple of Hephaestus → Old Parliament → Numismatic Museum of Athens → Temple of Olympian Zeus → Byzantine And Christian Museum,5,3.5,209.3
Athens,102897707@N03,3,Athens_11|Athens_20|Athens_10|Athens_5|Athens_17,Temple of Hephaestus → Old Parliament → Athens War Museum → Temple of Olympian Zeus → Numismatic Museum of Athens,5,3.5,208.7
Athens,103468177@N08,1,Athens_11|Athens_5,Temple of Hephaestus → Temple of Olympian Zeus,2,1.0,94.2
Athens,103468177@N08,2,Athens_5|Athens_11,Temple of Olympian Zeus → Temple of Hephaestus,2,1.0,93.6
Athens,103468177@N08,3,Athens_11,Temple of Hephaestus,1,0.5,23.6
Athens,10566322@N05,1,Athens_20|Athens_17|Athens_10|Athens_11|Athens_5,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Temple of Hephaestus → Temple of Olympian Zeus,5,3.5,206.5
Athens,10566322@N05,2,Athens_20|Athens_17|Athens_10|Athens_5|Athens_11,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Temple of Olympian Zeus → Temple of Hephaestus,5,3.5,196.3
Athens,10566322@N05,3,Athens_20|Athens_17|Athens_9|Athens_11|Athens_5,Old Parliament → Numismatic Museum of Athens → Byzantine And Christian Museum → Temple of Hephaestus → Temple of Olympian Zeus,5,3.5,218.9
Athens,106391491@N02,1,Athens_20|Athens_17|Athens_10|Athens_11|Athens_5,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Temple of Hephaestus → Temple of Olympian Zeus,5,3.5034,206.5
Athens,106391491@N02,2,Athens_20|Athens_17|Athens_10|Athens_5|Athens_11,Old Parliament → Numismatic Museum of Athens → Athens War Museum → Temple of Olympian Zeus → Temple of Hephaestus,5,3.5034,196.3
