model,prompt_strategy,latency_sec,prompt_tokens,completion_tokens,total_tokens,cost_usd
gemini-3.1-flash-lite,cot,1.31225,878.55,149.21,1027.76,0.0
gemini-3.1-flash-lite,few_shot,0.966855,1248.55,67.045,1315.595,0.0
gemini-3.1-flash-lite,retrieval_aware,0.94243,879.55,90.45,970.0,0.0
gemini-3.1-flash-lite,zero_shot,1.055205,786.55,85.61,872.16,0.0
gpt-5.4-nano,cot,1.57247,755.835,90.59,846.4250000000001,0.0
gpt-5.4-nano,few_shot,1.382015,1094.835,94.61,1189.445,0.0
gpt-5.4-nano,retrieval_aware,1.677955,753.835,89.165,843.0,0.0
gpt-5.4-nano,zero_shot,1.48986,670.835,87.495,758.33,0.0
llama3.1:8b,cot,8.23636,771.975,454.695,1226.67,0.0
llama3.1:8b,few_shot,1.56072,1122.975,57.985,1180.9599999999998,0.0
llama3.1:8b,retrieval_aware,1.503005,770.975,58.2,829.1750000000001,0.0
llama3.1:8b,zero_shot,1.72661,686.975,72.145,759.12,0.0
